"locale_id","city","state","temperature","feels_like"
3719,"Nova Canaã Paulista","SP","25.0","25.0"
3720,"Nova Castilho","SP","26.0","27.0"
3728,"Novo Horizonte","SP","22.0","22.0"
3700,"Monte Aprazível","SP","25.0","25.0"
3721,"Nova Europa","SP","22.0","22.0"
3725,"Novais","SP","22.0","22.0"
3730,"Ocauçu","SP","22.0","22.0"
3727,"Nova Odessa","SP","23.0","23.0"
3722,"Nova Granada","SP","25.0","25.0"
3726,"Nova Luzitânia","SP","25.0","25.0"
3724,"Nova Independência","SP","27.0","28.0"
3731,"Óleo","SP","22.0","22.0"
3691,"São José Do Barreiro","SP","22.0","22.0"
3735,"Osasco","SP","21.0","21.0"
3734,"Orindiúva","SP","24.0","24.0"
3736,"Oscar Bressane","SP","22.0","21.0"
3718,"Nova Campina","SP","19.0","19.0"
3737,"Osvaldo Cruz","SP","24.0","24.0"
3733,"Oriente","SP","22.0","22.0"
3732,"Onda Verde","SP","24.0","24.0"
3714,"Neves Paulista","SP","24.0","24.0"
3717,"Nova Aliança","SP","23.0","23.0"
3739,"Ouroeste","SP","25.0","25.0"
3723,"Nova Guataporanga","SP","28.0","28.0"
3740,"Ouro Verde","SP","27.0","28.0"
3746,"Panorama","SP","26.0","26.0"
3747,"Paraguaçu Paulista","SP","23.0","23.0"
3744,"Palmeira D'Oeste","SP","26.0","27.0"
3751,"Paranapuã","SP","27.0","27.0"
3729,"Nuporanga","SP","23.0","23.0"
3743,"Palmares Paulista","SP","22.0","22.0"
3750,"Paranapiacaba","SP","18.0","18.0"
3753,"Pardinho","SP","18.0","18.0"
3752,"Parapuã","SP","24.0","24.0"
3748,"Paraibuna","SP","19.0","19.0"
3758,"Paulínia","SP","23.0","23.0"
3754,"Pariquera-Açu","SP","23.0","23.0"
3755,"Parisi","SP","27.0","28.0"
3738,"Ourinhos","SP","24.0","24.0"
3741,"Pacaembu","SP","26.0","27.0"
3761,"Pederneiras","SP","23.0","23.0"
3762,"Pedra Bela","SP","18.0","18.0"
3759,"Paulistânia","SP","22.0","22.0"
3742,"Palestina","SP","26.0","27.0"
3745,"Palmital","SP","21.0","21.0"
3749,"Paranapanema","SP","21.0","21.0"
3767,"Pedro De Toledo","SP","21.0","21.0"
3766,"Pedrinhas Paulista","SP","23.0","23.0"
3764,"Pedregulho","SP","22.0","19.0"
3763,"Pedranópolis","SP","27.0","28.0"
3769,"Pereira Barreto","SP","24.0","24.0"
3772,"Perus","SP","20.0","20.0"
3773,"Piacatu","SP","23.0","23.0"
3775,"Piedade","SP","18.0","18.0"
3756,"Patrocínio Paulista","SP","23.0","23.0"
3757,"Paulicéia","SP","28.0","28.0"
3779,"Pinhalzinho","SP","20.0","20.0"
3780,"Piquerobi","SP","27.0","27.0"
3777,"Pindamonhangaba","SP","22.0","22.0"
3778,"Pindorama","SP","22.0","22.0"
