"locale_id","city","state","temperature","feels_like","latitude","longitude"
3397,"Conceição Do Mato Dentro","MG","20.0","20.0","-19.0","-43.4"
3395,"Lavandeira","TO","25.0","25.0","-12.8","-46.5"
3399,"Divino Das Laranjeiras","MG","26.0","27.0","-18.8","-41.5"
3394,"Lajeado","TO","24.0","24.0","-9.8","-48.4"
3393,"Lagoa Do Tocantins","TO","23.0","23.0","-10.4","-47.6"
3396,"Lizarda","TO","23.0","23.0","-9.6","-46.7"
3400,"Espírito Santo Do Dourado","MG","20.0","20.0","-22.0","-46.0"
3402,"Marianópolis Do Tocantins","TO","25.0","25.0","-9.8","-49.7"
3398,"Desterro De Entre Rios","MG","21.0","21.0","-20.7","-44.3"
3401,"Luzinópolis","TO","25.0","25.0","-6.2","-47.9"
3404,"Mateiros","TO","23.0","23.0","-10.5","-46.4"
3405,"Maurilândia Do Tocantins","TO","24.0","24.0","-6.0","-47.5"
3406,"Miracema Do Tocantins","TO","24.0","24.0","-9.6","-48.4"
3407,"Miranorte","TO","24.0","24.0","-9.5","-48.6"
3408,"Monte Do Carmo","TO","23.0","23.0","-10.8","-48.1"
3409,"Monte Santo Do Tocantins","TO","23.0","23.0","-10.0","-49.0"
3403,"Pedras De Maria Da Cruz","MG","26.0","27.0","-15.6","-44.4"
3410,"Palmeiras Do Tocantins","TO","25.0","25.0","-6.6","-47.5"
3416,"Novo Acordo","TO","23.0","23.0","-10.0","-47.7"
3415,"Nova Rosalândia","TO","25.0","25.0","-10.6","-48.9"
3414,"Nova Olinda","TO","26.0","27.0","-7.6","-48.4"
3411,"Muricilândia","TO","26.0","27.0","-7.1","-48.6"
3412,"Natividade","TO","25.0","25.0","-11.7","-47.7"
3418,"Novo Alegre","TO","25.0","25.0","-12.9","-46.6"
3419,"Novo Jardim","TO","25.0","25.0","-11.8","-46.6"
3413,"Nazaré","TO","25.0","25.0","-6.4","-47.6"
3420,"Oliveira De Fátima","TO","24.0","24.0","-10.7","-48.9"
3421,"Santa Cruz Do Escalvado","MG","23.0","23.0","-20.2","-42.8"
3383,"Gurupi","TO","25.0","25.0","-11.7","-49.1"
3422,"Santa Efigênia De Minas","MG","22.0","22.0","-18.8","-42.4"
3423,"Santa Bárbara Do Monte Verde","MG","21.0","21.0","-22.0","-43.7"
3425,"Santa Bárbara Do Leste","MG","20.0","20.0","-20.0","-42.1"
3424,"Santa Bárbara Do Tugúrio","MG","22.0","22.0","-21.2","-43.6"
3427,"Palmas","TO","26.0","26.0","-10.1","-48.3"
3431,"Pedro Afonso","TO","23.0","23.0","-9.0","-48.2"
